title,category,price_gbp,price_inr,rating,in_stock
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Books,20.59,2172.24,5,True
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Books,37.13,3917.22,1,True
The Electric Pencil: Drawings from Inside State Hospital No. 3,Books,56.06,5914.33,1,True
The Death of Humanity: and the Case for Life,Books,58.11,6130.6,4,True
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Books,49.05,5174.77,3,True
The Art Forger,Books,40.76,4300.18,3,True
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,Books,19.73,2081.51,1,True
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Books,32.24,3401.32,5,True
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Books,41.83,4413.06,4,True
Soul Reader,Books,39.58,4175.69,2,True
Security,Books,39.25,4140.88,2,True
"Saga, Volume 6 (Saga (Collected Editions) #6)",Books,25.02,2639.61,3,True
"Saga, Volume 5 (Saga (Collected Editions) #5)",Books,51.04,5384.72,2,True
Reskilling America: Learning to Labor in the Twenty-First Century,Books,19.83,2092.06,2,True
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Books,50.4,5317.2,3,True
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Books,13.61,1435.86,5,True
Princess Between Worlds (Wide-Awake Princess #5),Books,13.34,1407.37,5,True
"Pop Gun War, Volume 1: Gift",Books,18.97,2001.33,1,True
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",Books,36.28,3827.54,2,True
Patience,Books,10.16,1071.88,3,True
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Books,15.44,1628.92,4,True
orange: The Complete Collection 1 (orange: The Complete Collection #1),Books,48.41,5107.25,1,True
Online Marketing for Busy Authors: A Step-By-Step Guide,Books,46.35,4889.93,1,True
On a Midnight Clear,Books,14.07,1484.38,3,True
Obsidian (Lux #1),Books,14.86,1567.73,2,True
My Paris Kitchen: Recipes and Stories,Books,33.37,3520.53,2,True
Masks and Shadows,Books,56.4,5950.2,2,True
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Books,14.02,1479.11,4,True
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Books,46.91,4949.0,2,True
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Books,45.61,4811.85,3,True
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Books,19.92,2101.56,2,True
"Layered: Baking, Building, and Styling Spectacular Cakes",Books,40.11,4231.6,1,True
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Books,53.9,5686.45,2,True
Join,Books,35.67,3763.19,5,True
In the Country We Love: My Family Divided,Books,22.0,2321.0,4,True
